release_id,cover_url
13675,https://i.discogs.com/TObIISiEzu3j0TiHvfPe1HDA2Nb2WKTrzAwO7cQUE6s/rs:fit/g:sm/q:90/h:464/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzNjc1/LTEzMTEzMTU4MTgu/anBlZw.jpeg
346545,https://i.discogs.com/gkgpxtrYYmwK7WE_tUEqRl-1YjMB3IkO3U6gXcuwCfI/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0NjU0/NS0xNTk1MDgxMDY1/LTc1NDMuanBlZw.jpeg
29668930,https://i.discogs.com/Z9J4MZnpzmQfLYicPOSB10-DST_FMdOQC4xT4tFxWuQ/rs:fit/g:sm/q:90/h:593/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NjY4/OTMwLTE3MDY4Njkx/MDMtOTg1NC5qcGVn.jpeg
64059,https://i.discogs.com/BrdgFj9-2K13bAqMu6GNKOxjyCMaNzZbWT3dkTrxedQ/rs:fit/g:sm/q:90/h:528/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY0MDU5/LTE0NDI5MjU0MDYt/MzcyMy5qcGVn.jpeg
3971828,https://i.discogs.com/Fs7fJCUtA7jOh71DkkHQYIRXpDabBn3Pq4CXmh4L-EQ/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM5NzE4/MjgtMTU4MTYzNTgz/Ni0zNTg5LmpwZWc.jpeg
4620556,https://i.discogs.com/GVoQAQAEIobNhL8f8fyeKlPvBGI53L2we7pWmSitzLQ/rs:fit/g:sm/q:90/h:470/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ2MjA1/NTYtMTM3NTM3MjQx/Mi0yNDc4LmpwZWc.jpeg
11022510,https://i.discogs.com/oT3fVd6ax3gfdqN93UhlbzsomU-c_MuQPe_WU2atnZ8/rs:fit/g:sm/q:90/h:591/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMDIy/NTEwLTE1MDg0MjQw/NDgtODE1My5qcGVn.jpeg
9885806,https://i.discogs.com/bPdhN6UrePgiRHkM6RWpc58VLyzejiig7xXMsufdrZA/rs:fit/g:sm/q:90/h:600/w:585/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk4ODU4/MDYtMTQ4Nzk1ODMz/Mi01NTg5LmpwZWc.jpeg
3527529,https://i.discogs.com/vB0gpkHMtIyIJ4ezayZycie_z2xXTgEdA1eE66a0P4w/rs:fit/g:sm/q:90/h:600/w:597/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1Mjc1/MjktMTQ1NTc0OTEy/Ni0yMDgzLmpwZWc.jpeg
1288524,https://i.discogs.com/33p106K5Qev7MSYlmmndOidf4RXDKC_Ltzqo92q39Rk/rs:fit/g:sm/q:90/h:523/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyODg1/MjQtMTUzNzI5MDM3/Mi03NDI4LmpwZWc.jpeg
309614,https://i.discogs.com/nzv10gHh4N2XeGXjAx_tpe160qaKv4x_tnHHMgXxN6c/rs:fit/g:sm/q:90/h:528/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwOTYx/NC0xNTIxNDk1MDUw/LTYxNjIuanBlZw.jpeg
5483747,https://i.discogs.com/zUbIusLrMc6RRr7HX-8xpZk0zkIs5HYpl93CMWoEXmU/rs:fit/g:sm/q:90/h:596/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTU0ODM3/NDctMTQ0ODAwODAz/NS0yMDEwLmpwZWc.jpeg
427678,https://i.discogs.com/Wc95v2NBDdECAsltR82p0pkpQnThTS6zwUQsna1vUqE/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQyNzY3/OC0xNTE5NjcwOTg3/LTIzMjkuanBlZw.jpeg
260311,https://i.discogs.com/qP8epCd-obLl4UOKByVB-ZTh_a6J2rUkqEw8FnczqV0/rs:fit/g:sm/q:90/h:480/w:550/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI2MDMx/MS0xMTMwMjcwNDMw/LmpwZWc.jpeg
92906,https://i.discogs.com/6qPNKPn0D7otYE1k0dZDYzZ5KKZ7Jt-LGQ8BboKYrPA/rs:fit/g:sm/q:90/h:462/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkyOTA2/LTEyMDcyMzIyOTgu/anBlZw.jpeg
6893514,https://i.discogs.com/Ajp_64-NLyXqdL2aI07cXll_Oe_wbt-QlRNokhR3qd4/rs:fit/g:sm/q:90/h:463/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY4OTM1/MTQtMTQ0NjU3MzMw/NS02NDQ3LmpwZWc.jpeg
